month,avg_temp,year,month_num
1999 Oct,9.756666666666666,1999,10
1999 Nov,7.216666666666667,1999,11
1999 Dec,0.08064516129032255,1999,12
2000 Jan,-4.970967741935484,2000,1
2000 Feb,-0.8931034482758621,2000,2
2000 Mar,5.219354838709678,2000,3
2000 Apr,8.44516129032258,2000,4
2000 May,15.335483870967742,2000,5
2000 Jun,19.256666666666668,2000,6
2000 Jul,19.793548387096774,2000,7
2000 Aug,20.029032258064515,2000,8
2000 Sep,15.3,2000,9
2000 Oct,9.606666666666667,2000,10
2000 Nov,4.076666666666666,2000,11
2000 Dec,-4.332258064516129,2000,12
2001 Jan,-4.245161290322581,2001,1
2001 Feb,-1.7464285714285714,2001,2
2001 Mar,0.4935483870967742,2001,3
2001 Apr,9.648387096774194,2001,4
2001 May,15.351724137931035,2001,5
2001 Jun,20.48,2001,6
2001 Jul,20.193548387096772,2001,7
2001 Aug,22.703225806451613,2001,8
2001 Sep,15.683333333333334,2001,9
2001 Oct,11.36,2001,10
2001 Nov,7.556666666666667,2001,11
2001 Dec,2.02258064516129,2001,12
2002 Jan,0.3419354838709678,2002,1
2002 Feb,1.0571428571428572,2002,2
2002 Mar,3.609677419354839,2002,3
2002 Apr,9.980645161290322,2002,4
2002 May,13.69032258064516,2002,5
2002 Jun,19.88,2002,6
2002 Jul,23.658620689655173,2002,7
2002 Aug,22.370967741935484,2002,8
2002 Sep,18.63,2002,9
2002 Oct,9.476666666666667,2002,10
2002 Nov,4.803333333333334,2002,11
2002 Dec,-1.3774193548387097,2002,12
2003 Jan,-6.470967741935484,2003,1
2003 Feb,-4.410714285714286,2003,2
2003 Mar,3.0129032258064514,2003,3
2003 Apr,8.619354838709677,2003,4
2003 May,13.893548387096775,2003,5
2003 Jun,18.65,2003,6
2003 Jul,21.64516129032258,2003,7
2003 Aug,22.038709677419355,2003,8
2003 Sep,16.923333333333332,2003,9
2003 Oct,9.406666666666666,2003,10
2003 Nov,6.266666666666667,2003,11
2003 Dec,-0.21290322580645152,2003,12
2004 Jan,-7.729032258064516,2004,1
2004 Feb,-2.206896551724138,2004,2
2004 Mar,3.967741935483871,2004,3
2004 Apr,10.19032258064516,2004,4
2004 May,16.303225806451614,2004,5
2004 Jun,19.043333333333333,2004,6
2004 Jul,21.461290322580645,2004,7
2004 Aug,20.64516129032258,2004,8
2004 Sep,17.15,2004,9
2004 Oct,10.226666666666667,2004,10
2004 Nov,5.36,2004,11
2004 Dec,-0.7677419354838709,2004,12
2005 Jan,-5.125806451612903,2005,1
2005 Feb,-1.4678571428571427,2005,2
2005 Mar,-0.07096774193548387,2005,3
2005 Apr,10.335483870967742,2005,4
2005 May,12.538709677419355,2005,5
2005 Jun,21.813333333333333,2005,6
2005 Jul,22.596774193548388,2005,7
2005 Aug,22.57741935483871,2005,8
2005 Sep,18.57,2005,9
2005 Oct,10.87,2005,10
2005 Nov,6.8933333333333335,2005,11
2005 Dec,-2.470967741935484,2005,12
2006 Jan,1.1225806451612903,2006,1
2006 Feb,-1.2571428571428571,2006,2
2006 Mar,2.954838709677419,2006,3
2006 Apr,9.94516129032258,2006,4
2006 May,14.845161290322581,2006,5
2006 Jun,19.413333333333334,2006,6
2006 Jul,23.53548387096774,2006,7
2006 Aug,20.545161290322582,2006,8
2006 Sep,15.65,2006,9
2006 Oct,10.04,2006,10
2006 Nov,7.633333333333334,2006,11
2006 Dec,3.3774193548387097,2006,12
2007 Jan,-0.367741935483871,2007,1
2007 Feb,-5.525,2007,2
2007 Mar,1.6375,2007,3
2007 Apr,7.656666666666666,2007,4
2007 May,16.293548387096774,2007,5
2007 Jun,19.573333333333334,2007,6
2007 Jul,21.677419354838708,2007,7
2007 Aug,20.825806451612902,2007,8
2007 Sep,17.62,2007,9
2007 Oct,13.864516129032257,2007,10
2007 Nov,3.810344827586207,2007,11
2007 Dec,-1.067741935483871,2007,12
2008 Jan,-1.1935483870967742,2008,1
2008 Feb,-1.9482758620689655,2008,2
2008 Mar,2.771875,2008,3
2008 Apr,10.466666666666667,2008,4
2008 May,13.464516129032258,2008,5
2008 Jun,20.586666666666666,2008,6
2008 Jul,22.738709677419354,2008,7
2008 Aug,19.051612903225806,2008,8
2008 Sep,17.25,2008,9
2008 Oct,8.67741935483871,2008,10
2008 Nov,4.720689655172414,2008,11
2008 Dec,-0.4354838709677419,2008,12
2009 Jan,-6.548387096774193,2009,1
2009 Feb,-1.0964285714285713,2009,2
2009 Mar,3.178125,2009,3
2009 Apr,10.92,2009,4
2009 May,14.72258064516129,2009,5
2009 Jun,18.473333333333333,2009,6
2009 Jul,19.983870967741936,2009,7
2009 Aug,21.216129032258063,2009,8
2009 Sep,15.12,2009,9
2009 Oct,8.487096774193548,2009,10
2009 Nov,6.703448275862069,2009,11
2009 Dec,-1.7419354838709677,2009,12
2010 Jan,-3.8000000000000003,2010,1
2010 Feb,-2.289285714285714,2010,2
2010 Mar,6.346875,2010,3
2010 Apr,12.013333333333334,2010,4
2010 May,16.419354838709676,2010,5
2010 Jun,20.276666666666667,2010,6
2010 Jul,23.767741935483873,2010,7
2010 Aug,21.73548387096774,2010,8
2010 Sep,18.246666666666666,2010,9
2010 Oct,10.432258064516128,2010,10
2010 Nov,4.786206896551724,2010,11
2010 Dec,-2.9225806451612906,2010,12
2011 Jan,-5.54516129032258,2011,1
2011 Feb,-2.6142857142857143,2011,2
2011 Mar,2.30625,2011,3
2011 Apr,10.286666666666667,2011,4
2011 May,16.79032258064516,2011,5
2011 Jun,19.19,2011,6
2011 Jul,23.37741935483871,2011,7
2011 Aug,20.641935483870967,2011,8
2011 Sep,18.063333333333333,2011,9
2011 Oct,10.474193548387097,2011,10
2011 Nov,7.593103448275862,2011,11
2011 Dec,2.3516129032258064,2011,12
2012 Jan,-0.4354838709677419,2012,1
2012 Feb,1.2482758620689656,2012,2
2012 Mar,8.175,2012,3
2012 Apr,9.836666666666666,2012,4
2012 May,16.81935483870968,2012,5
2012 Jun,19.203333333333333,2012,6
2012 Jul,22.690322580645162,2012,7
2012 Aug,21.49032258064516,2012,8
2012 Sep,16.303333333333335,2012,9
2012 Oct,11.874193548387098,2012,10
2012 Nov,2.7413793103448274,2012,11
2012 Dec,1.367741935483871,2012,12
2013 Jan,-2.07741935483871,2013,1
2013 Feb,-1.707142857142857,2013,2
2013 Mar,1.75,2013,3
2013 Apr,8.963333333333333,2013,4
2013 May,15.44516129032258,2013,5
2013 Jun,19.44333333333333,2013,6
2013 Jul,23.741935483870968,2013,7
2013 Aug,19.980645161290322,2013,8
2013 Sep,15.073333333333332,2013,9
2013 Oct,11.32258064516129,2013,10
2013 Nov,3.3344827586206898,2013,11
2013 Dec,-1.0064516129032257,2013,12
2014 Jan,-5.509677419354839,2014,1
2014 Feb,-5.021428571428571,2014,2
2014 Mar,-0.9,2014,3
2014 Apr,8.983333333333333,2014,4
2014 May,15.141935483870968,2014,5
2014 Jun,20.11,2014,6
2014 Jul,21.203225806451613,2014,7
2014 Aug,19.54516129032258,2014,8
2014 Sep,16.39,2014,9
2014 Oct,11.680645161290322,2014,10
2014 Nov,3.575862068965517,2014,11
2014 Dec,0.7838709677419354,2014,12
2015 Jan,-5.716129032258064,2015,1
2015 Feb,-9.42142857142857,2015,2
2015 Mar,-0.68125,2015,3
2015 Apr,9.12,2015,4
2015 May,17.906451612903226,2015,5
2015 Jun,18.89,2015,6
2015 Jul,21.493548387096773,2015,7
2015 Aug,21.470967741935485,2015,8
2015 Sep,18.453333333333333,2015,9
2015 Oct,9.880645161290323,2015,10
2015 Nov,6.810344827586206,2015,11
2015 Dec,5.909677419354839,2015,12
2016 Jan,-1.896774193548387,2016,1
2016 Feb,-0.04482758620689655,2016,2
2016 Mar,6.775,2016,3
2016 Apr,7.94,2016,4
2016 May,15.416129032258064,2016,5
2016 Jun,19.546666666666667,2016,6
2016 Jul,22.883870967741935,2016,7
2016 Aug,22.75483870967742,2016,8
2016 Sep,18.166666666666668,2016,9
2016 Oct,11.125806451612902,2016,10
2016 Nov,5.313793103448276,2016,11
2016 Dec,-0.7258064516129032,2016,12
2017 Jan,-0.07419354838709674,2017,1
2017 Feb,1.85,2017,2
2017 Mar,0.20625000000000007,2017,3
2017 Apr,12.056666666666667,2017,4
2017 May,13.961290322580645,2017,5
2017 Jun,19.73,2017,6
2017 Jul,21.425806451612903,2017,7
2017 Aug,19.580645161290324,2017,8
2017 Sep,17.623333333333335,2017,9
